Blog	business	friends	photo	small	companies	online	makes	another	support	talking	whether	should	back	ways	high	he	thing	getting	off	into	opportunity	his	tips	making	use	keep	better	asked	me	interview	questions	state	well	d	amp	media	started	video	using	top	following	com	b	reasons	web	money	website	thanks	our	site	there	great	here	least	which	being	re	because	others	few	ask	question	recently	ve	stuff	soon	youtube	c	hope	things	us	any	love	please	don	where	conversation	story	day	something	why	director	called	other	week	her	name	team	months	ago	really	thought	kind	never	answer	myself	let	see	favorite	she	nothing	much	come	happened	almost	every	got	office	took	wanted	even	once	month	everyone	had	take	place	no	who	knew	would	wrote	email	while	think	going	means	learn	just	work	real	time	around	made	easy	head	need	point	do	away	bit	press	make	sure	also	want	give	fun	during	takes	long	co	might	year	find	way	together	lot	events	happy	hour	same	talk	only	know	company	else	did	look	own	may	working	hard	personal	fact	try	important	isn	big	true	enough	close	article	write	along	feel	free	share	too	always	say	itself	america	wasn	third	family	used	its	today	idea	seems	than	ever	episode	different	ones	released	instead	president	tell	e	taking	three	face	next	found	old	best	m	very	good	successful	shows	running	far	each	create	many	days	sometimes	less	course	writing	already	under	games	movie	short	show	done	yet	spent	four	start	second	could	these	probably	were	stop	world	design	through	life	phone	camera	finally	looks	ll	videos	friend	then	didn	does	quickly	doing	latest	run	product	learning	system	track	feature	iphone	available	app	store	clear	especially	before	notes	left	add	tools	line	save	them	apple	features	photos	example	special	links	project	via	behind	won	coming	version	interesting	seeing	search	since	told	update	go	page	right	results	looking	information	security	someone	report	morning	am	down	until	ideas	twitter	mobile	check	word	simple	th	software	still	help	minutes	facebook	both	users	read	recent	experience	change	forward	past	years	such	those	account	actually	turn	party	blog	community	become	trying	matter	live	little	harassment	hours	building	social	open	two	part	hands	between	internet	build	chris	cover	reading	include	post	book	seem	deal	rules	times	comes	thinking	level	doesn	must	cost	often	perhaps	case	art	including	sexual	last	mean	saying	center	understand	david	problem	full	group	side	call	bad	room	likely	number	without	anyone	worth	needs	friday	though	mueller	according	said	city	end	five	went	white	house	early	him	news	election	continue	night	u	government	john	pretty	put	maybe	later	self	quite	car	bill	o	women	mark	game	trump	view	mdash	october	wrong	campaign	set	amazon	appeared	future	original	google	data	cool	content	technology	large	public	again	ad	guy	man	list	service	san	nbsp	words	sound	tech	says	based	x	home	screen	device	smart	hand	hit	play	within	against	everything	research	per	seen	former	series	american	russia	intelligence	development	key	york	music	created	order	computer	stranger	k	tv	million	cars	came	watch	network	stories	half	halloween	power	remember	donald	buy	price	known
Power LinePower Line	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0
O'Reilly Radar	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	7	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	10	0	0	0	0	10	0	0	2	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	10	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pharyngula	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
http://scobleizer.wordpress.com/feed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://sethgodin.typepad.com/seths_blog/index.rdf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slashdot	1	0	0	0	0	3	1	2	1	0	1	5	0	0	1	3	0	1	1	3	0	7	0	1	1	4	1	2	1	2	0	6	1	0	0	0	1	0	3	0	0	0	0	0	1	1	3	1	2	2	9	0	0	0	10	4	1	2	0	2	0	0	1	3	0	0	5	0	0	0	3	3	0	0	2	5	2	15	0	1	1	0	2	9	1	0	5	4	2	3	1	0	2	1	1	0	0	1	0	0	3	1	0	0	0	0	0	2	0	0	3	1	2	0	2	1	0	2	8	0	3	0	0	1	1	1	0	0	2	2	1	4	2	1	0	1	0	1	4	0	0	2	4	0	6	0	0	0	2	0	1	1	3	5	2	1	0	1	0	3	0	0	1	1	1	11	1	0	0	1	4	3	0	0	0	3	0	1	0	2	0	0	0	0	1	2	0	2	1	0	1	0	0	0	1	0	2	15	1	1	3	7	0	0	0	0	0	1	3	1	1	0	1	0	1	0	1	1	3	0	0	0	0	2	2	1	0	3	1	0	1	0	1	3	2	4	0	1	0	4	0	1	0	1	1	1	6	2	2	1	2	0	3	1	1	0	0	1	0	4	0	1	1	0	2	0	1	4	2	0	4	0	0	9	3	3	0	1	0	1	0	0	0	0	2	0	0	3	3	0	0	0	0	0	0	0	2	0	3	0	0	0	2	3	0	2	0	4	0	0	2	3	0	11	0	1	4	0	0	0	0	0	1	0	0	2	5	0	0	7	0	1	16	3	0	1	0	0	4	3	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	2	0	3	1	0	1	0	0	3	0	0	0	0	2	0	3	1	0	0	0	0	0	1	1	0	1	0	0	3	3	0	0	1	0	2	0	0	4	7	1	0	0	0	1	0	1	0	1	0	1	1	3	5	1	0	1	0	0	3	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	5	5	0	1	2	0	2	0	1	0	0	0	6	0	0	0	1	1	5	1	4	0	12	2	0	0	1	0	0	1	1	3	1	0	1	0	0	0	1	2	0	2	0	0	1	0	0	0	0	3	3	0	0	4	1	0	0	1	0	0	1	1	0
ThinkProgress	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	6	0	0	0	1	0	1	0	0	0	2	1	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	3	2	0	2	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	4	0	3	1	2	0	0	0	0	2	2	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	3	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0
The Dish	0	1	2	0	0	0	0	2	2	0	0	3	3	0	1	3	1	0	0	1	0	11	0	0	1	1	2	0	11	0	1	0	1	1	0	0	1	0	0	0	2	1	0	0	0	1	0	0	4	2	3	0	2	2	2	0	2	1	1	0	0	2	4	3	0	0	0	0	4	3	3	1	7	3	4	0	0	3	9	0	3	0	0	2	1	1	0	0	0	2	0	2	0	2	1	1	0	0	2	1	2	2	0	0	1	1	0	0	1	1	4	0	0	0	4	1	1	6	5	1	1	1	3	0	1	2	0	0	4	3	1	6	4	2	0	1	0	0	3	0	0	0	2	0	0	1	0	0	2	1	6	0	1	3	2	0	0	0	0	0	0	2	2	3	6	0	1	2	3	1	1	0	1	1	1	0	0	1	2	0	1	1	0	0	0	0	0	0	1	1	1	1	2	0	0	0	0	0	1	3	0	4	0	0	1	0	1	0	1	0	0	1	1	3	1	1	3	0	1	1	0	0	1	0	0	0	0	3	0	0	1	0	2	0	2	0	0	3	0	0	1	0	0	0	0	1	5	2	1	0	7	0	4	1	0	2	0	0	3	0	1	7	3	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	4	0	1	0	0	1	1	0	0	0	0	0	2	1	1	3	0	0	1	2	0	0	0	0	2	2	1	0	1	0	0	0	1	2	0	0	2	0	0	0	0	0	9	1	0	0	1	3	11	0	2	0	0	0	0	6	0	1	0	0	1	2	0	0	0	0	2	1	3	0	1	2	0	0	1	3	0	4	3	1	0	0	1	0	0	0	1	0	0	2	2	1	1	1	0	3	0	1	1	1	0	1	0	0	0	0	1	1	2	1	2	2	1	0	0	1	0	2	4	0	3	1	1	0	2	1	0	2	0	1	0	3	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1
WIL WHEATON dot NET	1	3	0	2	0	0	1	0	2	0	0	5	5	0	1	17	9	3	2	16	2	9	0	1	1	1	2	2	31	0	0	0	3	5	2	0	2	0	3	1	0	0	0	0	0	1	0	2	6	0	9	5	6	4	6	4	7	18	1	2	0	0	1	8	5	1	2	0	1	8	4	4	3	0	6	3	0	13	2	2	3	0	1	5	4	7	0	1	1	7	3	2	2	6	0	2	3	7	2	2	1	7	2	2	1	1	4	1	3	4	7	1	0	0	9	2	2	1	17	0	15	3	0	4	4	9	1	0	17	8	5	6	3	7	0	3	1	3	14	1	1	0	7	2	2	17	2	5	0	0	4	0	0	0	0	10	5	9	0	0	0	0	1	2	16	0	1	3	3	4	1	3	1	0	0	0	2	4	3	0	2	0	0	3	0	4	0	2	6	4	4	0	0	4	0	0	0	2	8	4	0	9	1	1	2	0	3	2	0	0	0	0	2	2	2	0	1	3	18	3	7	0	0	0	0	4	0	2	3	0	0	0	5	2	0	5	8	2	10	1	1	1	3	2	0	3	5	1	9	0	4	0	1	3	1	0	0	2	7	2	4	5	5	0	0	6	0	1	0	0	0	1	0	0	0	0	0	0	2	2	2	2	2	0	0	0	20	0	0	0	0	0	0	2	0	0	5	0	0	1	2	0	2	2	0	7	2	3	0	3	2	0	2	0	0	10	2	2	1	2	0	0	0	0	0	0	5	1	0	0	0	0	5	0	1	0	0	0	8	0	3	0	1	1	4	1	1	0	2	0	1	4	0	1	0	0	0	3	3	0	0	0	2	5	1	1	0	1	3	1	1	1	1	1	0	0	1	1	0	2	0	0	0	0	0	4	2	1	1	1	0	1	1	1	0	1	2	1	0	0	1	1	2	0	2	1	0	1	9	0	3	2	5	0	3	1	3	0	0	0	6	0	0	2	2	5	4	2	2	0	3	0	0	1	0	3	0	0	0	0	0	2	2	0	0	2	1	0	0	3	0	0	0	1	1	0	7	1	0	0	0	1	4	0	0	0	0	0	4	0	0	0	1	1	5	0	0	2	0	1	0	0	2	0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	0	2	2	2	0	0	0	7	0	0	0	2
43 Folders	8	5	2	2	2	1	5	10	3	4	14	16	25	5	0	39	33	11	13	21	3	28	5	11	11	10	27	1	82	9	0	0	24	45	11	2	2	14	8	2	2	17	6	2	10	5	1	13	35	2	33	14	28	11	45	17	48	57	4	13	9	3	1	40	27	5	0	0	20	55	21	38	15	16	46	20	1	6	16	23	32	0	3	22	11	17	3	2	4	3	77	10	9	26	2	8	17	18	10	29	7	37	5	2	13	12	2	0	2	5	50	4	2	8	26	10	7	37	70	2	20	2	11	10	31	7	11	11	70	59	19	46	10	28	5	1	21	21	74	7	7	0	45	10	27	26	4	3	2	4	21	0	16	14	10	36	3	39	2	6	4	9	22	22	40	2	7	13	5	13	15	7	16	4	9	18	13	0	25	9	15	2	4	3	1	7	8	4	14	20	21	6	1	2	2	4	6	9	13	6	2	36	26	4	7	2	1	4	0	17	3	1	3	5	3	1	10	14	47	29	26	2	0	4	7	13	0	20	7	15	16	2	4	13	20	0	1	3	4	10	6	2	5	11	8	24	24	8	16	11	13	10	7	32	1	0	6	3	37	0	5	25	8	5	2	16	0	6	4	6	4	0	1	3	5	8	0	7	8	13	2	2	1	5	3	2	22	1	2	0	0	5	2	3	1	2	10	1	3	2	3	0	5	6	4	21	4	24	2	2	6	0	7	0	7	14	9	15	3	4	1	2	3	7	1	1	20	30	7	1	8	5	43	2	4	13	1	8	16	6	27	1	14	5	0	5	0	12	10	8	8	28	0	4	3	1	4	10	17	4	3	3	2	0	3	13	1	2	25	4	2	2	3	5	5	3	18	1	0	19	3	3	3	8	0	13	7	11	0	14	4	15	7	0	4	3	6	8	4	9	12	14	5	4	2	2	0	0	14	0	7	4	2	0	2	4	12	1	0	4	5	0	0	15	11	3	14	5	9	5	3	0	1	0	3	2	0	4	32	3	6	0	3	1	0	8	2	2	3	3	1	3	3	1	10	1	33	7	3	3	2	1	1	1	0	13	2	4	6	1	1	4	3	3	6	2	4	12	0	0	1	0	0	2	1	0	1	2	1	0	0	8	0	0	2	4	0	2	1	6	4	2	9	0	7	6	1	5	5	2
456 Berea Street	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	2	9	1	0	0	2	0	0	0	4	3	0	0	0	0	3	2	0	0	0	0	4	0	0	0	0	2	6	1	2	3	4	2	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	3	0	0	4	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	3	2	0	1	0	0	0	4	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0	0	1	1	0	2	1	0	0	2	0	2	3	1	1	0	1	1	0	0	0	0	1	0	3	0	5	0	2	0	5	1	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	6	1	5	1	0	0	0	0	1	3	0	0	1	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	2	7	0	0	0	6	2	0	5	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	2	0	4	0	2	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	3	1	0	2	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	2	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	10	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	3	12	0	0	0	0	0	0	1	1	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Autoblog	0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	2	0	3	7	0	0	1	0	0	40	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	45	0	1	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	39	0	0	0	0	4	2	0	0	0	1	0	0	0	3	0	0	1	0	0	1	0	0	0	39	3	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	4	1	0	2	1	0	0	0	39	2	0	0	0	0	1	0	6	0	1	0	0	0	4	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	3	1	3	0	0	3	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	3	0	0	0	1	0	6	0	1	0	0	0	1	3	0	0	0	0	1	1	0	0	0	0	0	0	4	0	3	0	0	0	3	1	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	43	2	0	0	24	1	1	0	0	3	0	3	0	1	0	0	1	0	0	6	0	0	0	3	2	7	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	3	0	0	0	0	1	0	9	0	0	0	1	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	7	0	0	0	0	4	0	0	0	0	0	0	39	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	38	0	4	3	0	0	0	0	1	3	0	17	0	0	0	0	0	0	0	0	0	0	0	0	4	39	1	2	0	3	0	0	6	0	0	0	0	1	0	9	0	0	156	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	1	0	0	1	0	0	2	0	0	3	1	1
